stateid,nid,year,statefip,suiWun,suiWMun,suiWFun,perc_empl_white,perc_empl_white_men,perc_empl_white_women,citi6016,inst6017_nom,gini,povertyrate,gdp,perc_snap,perc_college,single_person_hh,avg_hh_size,hfr,sexratio_mf,binge_drinking,population,logpop,popdensity,lpopdens,age_under_18,age_18_34,age_35_64,age_above_64,perc_white,perc_hispanic,suiWunl95,suiWunu95,suiWunse,suiWMun95l,suiWMun95u,suiWMunse,suiWFun95l,suiWFun95u,suiWFunse
Alabama,1,2000,1,16,25.8,6.5,61.700001,70.699997,53.599998,32.095749,67.077469,45.39,13.3,35165,8.8958139,19.331503,11.656086,3.1876802,53.8,.95595306,11.64999961853027,4452173,15.308903,87.637939453125,4.4732141,25.26190185546875,23.44509887695313,38.25533676147461,13.03766536712646,71.850082,1.652142,14.6,17.4,.69999999,23.299999,28.4,1.3,5.3000002,7.6999998,.60000002
Alabama,1,2001,1,14,23,5.4,61.200001,70.099998,53,34.731926,67.077469,46,15.9,35008,9.2060366,19.520308,10.704799,3.1469831,52.2,.94707841,11.60000038146973,4467634,15.312369,88.1369476164848,4.4788918,25.09471289316815,23.31714757283527,38.51146507263184,13.07667668660481,72.371002,1.6099178,12.8,15.3,.69999999,20.700001,25.4,1.2,4.3000002,6.6999998,.60000002
Alabama,1,2002,1,13.9,22.3,5.8,59.799999,68.800003,51.599998,33.778839,67.077469,45.84,14.5,35908,9.9004059,20.7505,10.270259,3.2378404,55.3,.93988842,14.5,4480089,15.315153,88.63595577984461,4.4845376,24.92752393086749,23.18919626871747,38.76759338378906,13.11568800608318,72.320435,1.9781609,12.6,15.2,.69999999,20,24.6,1.2,4.6999998,7.0999999,.60000002
Alabama,1,2003,1,14.4,24,5.2,60.900002,69.300003,53.099998,28.708061,44.617706,45.89,15,36636,10.482224,21.32748,11.398818,3.1482823,50.4,.94236505,12.10000038146973,4503491,15.320363,89.13496394320441,4.4901519,24.76033496856689,23.06124496459961,39.02372169494629,13.15469932556152,72.297874,1.9159055,13.1,15.7,.69999999,21.6,26.4,1.2,4.1999998,6.4000001,.60000002
Alabama,1,2004,1,14.1,23.3,5.2,61,69.699997,52.799999,39.143379,44.617706,46.38,16.9,38737,10.982581,21.986259,10.87864,3.1291149,51.6,.94765919,12.69999980926514,4530729,15.326393,89.63397210656422,4.4957342,24.59314600626629,22.93329366048175,39.27985000610352,13.19371064503987,71.997566,1.9507272,12.8,15.4,.69999999,20.9,25.6,1.2,4.1999998,6.4000001,.60000002
Alabama,1,2005,1,14.2,23.3,5.5,61.200001,70.699997,52.200001,40.318115,44.617706,47.28,16.7,39692,12.223629,21.196972,11.365411,3.1624537,48.5,.94157159,10.39999961853027,4569805,15.334981,90.13298026992402,4.501286,24.42595704396564,22.80534235636395,39.53597831726074,13.23272196451823,71.417908,2.2172287,13,15.5,.69999999,20.9,25.6,1.2,4.4000001,6.8000002,.60000002
Alabama,1,2006,1,15.5,26,5.3,61.200001,71,52,40.314232,44.617706,47.2,14.3,39922,11.810029,21.109432,13.280278,3.1083338,46.8,.96233517,11.19999980926514,4628981,15.347847,90.63198843328379,4.5068073,24.25876808166504,22.67739105224609,39.79210662841797,13.27173328399658,71.293015,2.3771317,14.1,16.799999,.69999999,23.5,28.5,1.3,4.1999998,6.5,.60000002
Alabama,1,2007,1,16,25.9,6.5,59.700001,68.300003,51.5,47.255825,44.083241,47.09999999999999,14.5,39776,11.68358,21.577267,13.429753,3.1131134,48.1,.96500099,11,4672840,15.357278,90.3732386516713,4.5039482,24.37661170959473,22.76554298400879,39.46616744995117,13.39167881011963,71.486221,2.6265323,14.7,17.4,.69999999,23.4,28.299999,1.3,5.3000002,7.8000002,.60000002
Alabama,1,2008,1,15.8,25.5,6.5,58.299999,66,51.099998,48.36924,44.326435,46.7,14.3,39273,12.114584,22.379807,13.778716,3.1039255,50.3,.9673444,12,4718206,15.36694,91.1507492292598,4.5125146,24.20392036437988,22.66572380065918,39.59755325317383,13.53280162811279,71.2313,2.7582316,14.5,17.200001,.69999999,23,27.9,1.2,5.3000002,7.6999998,.60000002
Alabama,1,2009,1,18,29.4,6.9,54.400002,61.400002,47.900002,27.263035,41.360474,47.09999999999999,16.6,37416,14.273788,22.20653,13.832224,3.1346776,48.2,.96649295,10.69999980926514,4757938,15.375325,91.30853271484375,4.5142441,24.25416946411133,22.91606903076172,39.31621932983398,13.51354122161865,71.191971,3.1620986,16.6,19.4,.69999999,26.799999,32,1.3,5.6999998,8.1999998,.60000002
